,dataset,MAE,RMSE,MAPE,steps,bestModel
0,AirQuality(Italian),0.19335947930812836,0.3005404472351074,1.7185229063034058,200,./experiments/best_model_LSTM_AirQuality(Italian)_12_1778159215.5663862.pth
0,AirQuality(Italian),0.14645691215991974,0.18261413276195526,1.6807228326797485,200,./experiments/best_model_LSTM_AirQuality(Italian)_12_1778159494.982473.pth
0,AirQuality(Italian),0.13409559428691864,0.17066769301891327,1.4595850706100464,200,./experiments/best_model_LSTM_AirQuality(Italian)_12_1778159734.801337.pth
