,dataset,MAE,RMSE,MAPE,steps,bestModel
0,AirQuality(Italian),0.10376312583684921,0.12832152843475342,0.9869928956031799,45,./experiments/best_model_LSTM_AirQuality(Italian)_12_1777271687.5056043.pth
0,AirQuality(Italian),0.09518711268901825,0.12081308662891388,0.9130850434303284,44,./experiments/best_model_LSTM_AirQuality(Italian)_12_1777271772.6871006.pth
0,AirQuality(Italian),0.10206540673971176,0.13039328157901764,0.8311148881912231,39,./experiments/best_model_LSTM_AirQuality(Italian)_12_1777271872.8039007.pth
