,dataset,MAE,RMSE,MAPE,steps,bestModel
0,AirQuality(Italian),0.0945580005645752,0.11936128884553909,0.8740609884262085,56,./experiments/best_model_LSTM_AirQuality(Italian)_12_1778057578.6915994.pth
0,AirQuality(Italian),0.10742168873548508,0.13185124099254608,1.0298532247543335,44,./experiments/best_model_LSTM_AirQuality(Italian)_12_1778057716.7699845.pth
0,AirQuality(Italian),0.10016212612390518,0.12569034099578857,0.9314924478530884,43,./experiments/best_model_LSTM_AirQuality(Italian)_12_1778057819.7112987.pth
