,dataset,MAE,RMSE,MAPE,steps,bestModel
0,AirQuality(Italian),0.12578602135181427,0.16039972007274628,0.8767226934432983,62,./experiments/best_model_LSTM_AirQuality(Italian)_12_1776305486.2528389.pth
0,AirQuality(Italian),0.1228410080075264,0.15743115544319153,0.8465165495872498,65,./experiments/best_model_LSTM_AirQuality(Italian)_12_1776305675.1485066.pth
0,AirQuality(Italian),0.12662576138973236,0.16186058521270752,0.8782030940055847,73,./experiments/best_model_LSTM_AirQuality(Italian)_12_1776305838.1185656.pth
