,dataset,MAE,RMSE,MAPE,steps,bestModel
0,AirQuality(Italian),0.11055392771959305,0.1422901749610901,0.713233232498169,42,./experiments/best_model_LSTM_AirQuality(Italian)_12_1774594184.5161664.pth
0,AirQuality(Italian),0.11130336672067642,0.14336203038692474,0.7132486701011658,32,./experiments/best_model_LSTM_AirQuality(Italian)_12_1774594528.9571915.pth
0,AirQuality(Italian),0.11124064028263092,0.14305348694324493,0.7192381620407104,59,./experiments/best_model_LSTM_AirQuality(Italian)_12_1774594870.4159305.pth
