,dataset,MAE,RMSE,MAPE,steps,bestModel
0,AirQuality(Italian),0.12086328864097595,0.15491530299186707,0.8268712759017944,69,./experiments/best_model_LSTM_AirQuality(Italian)_12_1776343596.7210722.pth
0,AirQuality(Italian),0.12182068824768066,0.1562737673521042,0.8562163710594177,45,./experiments/best_model_LSTM_AirQuality(Italian)_12_1776345241.8377097.pth
0,AirQuality(Italian),0.12353809922933578,0.15753743052482605,0.8575777411460876,37,./experiments/best_model_LSTM_AirQuality(Italian)_12_1776345507.5047016.pth
