,dataset,MAE,RMSE,MAPE,steps,bestModel
0,AirQuality(Italian),0.10702868551015854,0.1333341896533966,0.9892975091934204,42,./experiments/best_model_LSTM_AirQuality(Italian)_12_1778140655.6243424.pth
0,AirQuality(Italian),0.10507088154554367,0.12913496792316437,1.0161420106887817,47,./experiments/best_model_LSTM_AirQuality(Italian)_12_1778141115.4093654.pth
0,AirQuality(Italian),0.10474374890327454,0.13066767156124115,1.0509387254714966,56,./experiments/best_model_LSTM_AirQuality(Italian)_12_1778141464.8630927.pth
