,dataset,MAE,RMSE,MAPE,steps,bestModel
0,AirQuality(Italian),0.11715029925107956,0.14954958856105804,0.7934927344322205,47,./experiments/best_model_LSTM_AirQuality(Italian)_12_1775747896.257298.pth
0,AirQuality(Italian),0.11682067066431046,0.14893072843551636,0.7893038988113403,40,./experiments/best_model_LSTM_AirQuality(Italian)_12_1775748032.5350308.pth
0,AirQuality(Italian),0.11910907179117203,0.15097694098949432,0.7872127294540405,98,./experiments/best_model_LSTM_AirQuality(Italian)_12_1775748183.3929157.pth
