,dataset,MAE,RMSE,MAPE,steps,bestModel
0,AirQuality(Italian),0.08064217865467072,0.10640347003936768,0.6630902886390686,107,./experiments/best_model_LSTM_AirQuality(Italian)_12_1777301233.463223.pth
0,AirQuality(Italian),0.11350486427545547,0.13898102939128876,1.151044249534607,40,./experiments/best_model_LSTM_AirQuality(Italian)_12_1777301300.6810791.pth
0,AirQuality(Italian),0.11288101226091385,0.13945472240447998,1.1372209787368774,38,./experiments/best_model_LSTM_AirQuality(Italian)_12_1777301404.9083474.pth
