,dataset,MAE,RMSE,MAPE,steps,bestModel
0,AirQuality(Italian),0.12316741049289703,0.15690463781356812,0.8681363463401794,64,./experiments/best_model_LSTM_AirQuality(Italian)_12_1776956394.7758687.pth
0,AirQuality(Italian),0.12228619307279587,0.15656155347824097,0.8471376895904541,47,./experiments/best_model_LSTM_AirQuality(Italian)_12_1776956579.578156.pth
0,AirQuality(Italian),0.125871479511261,0.16024908423423767,0.8895734548568726,107,./experiments/best_model_LSTM_AirQuality(Italian)_12_1776956803.2040672.pth
