,dataset,MAE,RMSE,MAPE,steps,bestModel
0,AirQuality(Italian),0.11665917187929153,0.1490236073732376,0.7828527688980103,57,./experiments/best_model_LSTM_AirQuality(Italian)_12_1777033390.7216306.pth
0,AirQuality(Italian),0.12129659205675125,0.15463650226593018,0.8249542117118835,94,./experiments/best_model_LSTM_AirQuality(Italian)_12_1777033473.6901617.pth
0,AirQuality(Italian),0.11999005079269409,0.15380460023880005,0.8190157413482666,50,./experiments/best_model_LSTM_AirQuality(Italian)_12_1777033546.1580358.pth
