,dataset,MAE,RMSE,MAPE,steps,bestModel
0,AirQuality(Italian),0.1232025995850563,0.15672516822814941,0.8246358036994934,54,./experiments/best_model_LSTM_AirQuality(Italian)_12_1776244252.1845577.pth
0,AirQuality(Italian),0.12354399263858795,0.15734462440013885,0.8306721448898315,39,./experiments/best_model_LSTM_AirQuality(Italian)_12_1776244364.1096115.pth
0,AirQuality(Italian),0.12255960702896118,0.15614578127861023,0.8222426176071167,55,./experiments/best_model_LSTM_AirQuality(Italian)_12_1776244479.089663.pth
